url,path,slug,clicks,impressions,sources,local_status,status,final,cc,server
https://serenfermera.com/principios-eticos-en-enfermeria/,/principios-eticos-en-enfermeria,principios-eticos-en-enfermeria,500.0,9670.0,Páginas.csv|current_bing_pages_2026-04-24.csv|current_gsc_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/principios-eticos-en-enfermeria/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/valores-profesionales-de-enfermeria/,/valores-profesionales-de-enfermeria,valores-profesionales-de-enfermeria,451.0,4917.0,current_bing_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/valores-profesionales-de-enfermeria/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/enfermeria-en-salud-ocupacional/,/enfermeria-en-salud-ocupacional,enfermeria-en-salud-ocupacional,278.0,4393.0,current_bing_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/enfermeria-en-salud-ocupacional/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/enfermeria-cuidado-integral-defiicion/,/enfermeria-cuidado-integral-defiicion,enfermeria-cuidado-integral-defiicion,244.0,5433.0,current_bing_pages_2026-04-24.csv|current_gsc_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/enfermeria-cuidado-integral-defiicion/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/estilos-de-liderazgo-en-enfermeria/,/estilos-de-liderazgo-en-enfermeria,estilos-de-liderazgo-en-enfermeria,232.0,1628.0,current_bing_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/estilos-de-liderazgo-en-enfermeria/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/trabajo-en-equipo-en-enfermeria/,/trabajo-en-equipo-en-enfermeria,trabajo-en-equipo-en-enfermeria,184.0,2323.0,current_bing_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/trabajo-en-equipo-en-enfermeria/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/plan-de-cuidados-enfermeria-ejemplopaso-a-paso/,/plan-de-cuidados-enfermeria-ejemplopaso-a-paso,plan-de-cuidados-enfermeria-ejemplopaso-a-paso,174.0,3989.0,Páginas.csv|current_bing_pages_2026-04-24.csv|current_gsc_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/plan-de-cuidados-enfermeria-ejemplopaso-a-paso/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/cuidados-de-enfermeria-oms/,/cuidados-de-enfermeria-oms,cuidados-de-enfermeria-oms,166.0,6623.0,Páginas.csv|current_bing_pages_2026-04-24.csv|current_gsc_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/cuidados-de-enfermeria-oms/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/cualidades-de-una-buena-enfermera/,/cualidades-de-una-buena-enfermera,cualidades-de-una-buena-enfermera,165.0,2829.0,current_bing_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/cualidades-de-una-buena-enfermera/,"public, max-age=0, must-revalidate",Vercel
https://serenfermera.com/venoclisis-cuidados-de-enfermeria/,/venoclisis-cuidados-de-enfermeria,venoclisis-cuidados-de-enfermeria,164.0,15282.0,current_bing_pages_2026-04-24.csv|serenfermera.com_PageTrafficReport_4_13_2026.csv|serenfermera.com_SiteExplorerUrls_4_13_2026.csv|traffic_urls_to_save.csv,served,200,https://serenfermera.com/venoclisis-cuidados-de-enfermeria/,"public, max-age=0, must-revalidate",Vercel
